name,f1,f2,f3,f4,f1v,c1,c2,l1,l2,l3,n1,n2,n3,n4,t1,t2,t3,t4
splice,0.6203902361080624,0.6666666666666666,0.8396029258098223,0.8396029258098223,0.21410589386748424,0.13632082791294398,0.2837138809127286,0.138861185613209,0.13406478578892372,0.09331243469174504,0.1199582027168234,0.5897158179118678,0.21191222570532917,0.10762800417972833,0.8984326018808777,0.018808777429467086,0.017241379310344827,0.9166666666666666
contraceptive,0.8920607978549238,0.9668109668109669,0.9780493324281512,0.9773704458022178,0.5724930959817943,0.10434932621691628,0.22495293297418884,0.27931131422519506,0.3281285358678434,0.26883910386965376,0.17107942973523418,0.5661120717752454,0.36071509391264994,0.25956098664856303,0.7277664630006789,0.006109979633401222,0.0013577732518669382,0.2222222222222222
segment,0.6226059341233752,0.06537464074287239,0.46066790352504644,0.2528756957328386,0.1368104930127971,0.4083272214176726,0.6756756756756755,0.10633812521492424,0.08855905998763143,0.07526283240568955,0.015893630179344465,0.7428686645776291,0.02263450834879407,0.0370439084724799,0.12690166975881262,0.008225108225108226,0.00303030303030303,0.36842105263157887
optdigits,0.7885912881270813,0.0,0.8163345195729537,0.6023131672597865,0.1169230208982595,0.5310150042676823,0.7804855976951387,0.06254564274780752,0.06884341637010676,0.0346085409252669,0.018416370106761566,0.8179221497052469,0.03384341637010676,0.017704626334519573,0.8538434163701067,0.011387900355871889,0.007473309608540925,0.65625
nursery,0.6997281953264757,0.2,0.3733333333333333,0.2933487654320987,0.24903174550997992,0.4199309123970796,0.520900968325011,0.10393473963926159,0.11151234567901236,0.09915123456790123,0.03481481481481481,0.7211863591476938,0.09308641975308643,0.04813271604938272,0.4691820987654321,0.0006172839506172839,0.0005401234567901234,0.875
mushroom,0.4803937908634253,0.0,0.7193479801559178,0.002126151665485471,0.0648805699951694,0.04055866264659147,0.10551762528487352,0.008640793372953037,0.007973068745570517,0.00203756201275691,0.0024805102763997165,0.49367302209500996,0.0,0.024184975194897235,0.06094968107725018,0.0038979447200566974,0.0019489723600283487,0.5
breast,0.8033176939751617,0.6,0.9783393501805054,0.9783393501805054,0.4781496456586578,0.128174728103286,0.29403917557862913,0.20913639041519988,0.22202166064981949,0.20577617328519854,0.17328519855595667,0.5650621962504958,0.3321299638989169,0.19675090252707583,0.7184115523465704,0.032490974729241874,0.021660649819494584,0.6666666666666666
crx,0.2937714335925908,0.4426055172476008,0.9693721286370597,0.9586523736600306,0.1467363298757442,0.006303927924561137,0.017301745983772432,0.14721660910607287,0.17917304747320062,0.13476263399693722,0.20597243491577336,0.4958688048243974,0.4364471669218989,0.32542113323124044,0.8361408882082695,0.022970903522205207,0.007656967840735069,0.3333333333333333
thyroid,0.6554793344192646,0.0,0.07611111111111112,0.04189814814814815,0.12546815003879772,0.7231163078011221,0.8954052822933419,0.03466114683989156,0.05125,0.03185185185185185,0.011111111111111112,0.8650584899464414,0.022222222222222216,0.013842592592592592,0.05347222222222222,0.002916666666666667,0.0004166666666666667,0.14285714285714285
vowel,0.8190527705874172,0.22210163825913795,0.5343434343434343,0.28108356290174474,0.29028158684411487,0.5605030130784866,0.8019801980198019,0.18189927616175428,0.1278236914600551,0.19733700642791552,0.01854912764003673,0.8321736857612542,0.013039485766758497,0.03636363636363637,0.18457300275482094,0.013131313131313131,0.009090909090909092,0.6923076923076924
post-operative,0.9400836732061316,0.3333333333333333,0.7394636015325671,0.6590038314176245,0.535644839862294,0.39814110219930726,0.5392444360705319,0.1680600885480422,0.1839080459770115,0.18007662835249041,0.1532567049808429,0.7221689505432098,0.3218390804597701,0.2068965517241379,0.5632183908045977,0.09195402298850575,0.08045977011494253,0.875
